keyword,left_context,right_context,position,full_context
Mueller,Bert,", a 35-year-old American ,",1,"Bert Mueller , a 35-year-old American ,"
35-year-old,"Bert Mueller , a","American , founded California Burrito",4,"Bert Mueller , a 35-year-old American , founded California Burrito"
Mexican-inspired,"California Burrito , a successful",restaurant chain in India .,13,"California Burrito , a successful Mexican-inspired restaurant chain in India ."
chain,", a successful Mexican-inspired restaurant",in India . He overcame,15,", a successful Mexican-inspired restaurant chain in India . He overcame"
India,successful Mexican-inspired restaurant chain in,. He overcame challenges like,17,successful Mexican-inspired restaurant chain in India . He overcame challenges like
challenges,in India . He overcame,like sourcing ingredients and adapting,21,in India . He overcame challenges like sourcing ingredients and adapting
chain,and building a strong supply,. With 103 stores and,44,and building a strong supply chain . With 103 stores and
stores,supply chain . With 103,and $ 23 million in,48,supply chain . With 103 stores and $ 23 million in
million,103 stores and $ 23,"in revenue , the company",52,"103 stores and $ 23 million in revenue , the company"
stores,aims to expand to 300,by 2030 and potentially go,63,aims to expand to 300 stores by 2030 and potentially go
Mueller,and potentially go public .,embraces the challenges and rewards,71,and potentially go public . Mueller embraces the challenges and rewards
challenges,public . Mueller embraces the,and rewards of living and,74,public . Mueller embraces the challenges and rewards of living and
India,of living and working in,", finding the culture and",82,"of living and working in India , finding the culture and"
